BATHRM,HF_BATHRM,AC,BEDRM,STORIES,PRICE,CNDTN,LANDAREA,FULLADDRESS,ASSESSMENT_NBHD,WARD,QUADRANT
4,1,Y,4,2,890000,Very Good,1600,31 MICHIGAN AVENUE NE,Brookland,Ward 5,NE
3,0,Y,3,2,723000,Very Good,3542,44 LONGFELLOW STREET NE,Chillum,Ward 4,NE
2,0,N,3,2,550000,Average,1600,2112 4TH STREET NE,Eckington,Ward 5,NE
2,1,Y,3,2,659000,Very Good,1683,55 LONGFELLOW STREET NW,Chillum,Ward 4,NW
1,0,N,3,2,445000,Average,1683,61 LONGFELLOW STREET NW,Chillum,Ward 4,NW
3,1,Y,3,2,735000,Very Good,930,223 BRYANT STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,555500,Good,1481,2915 7TH STREET NE,Brookland,Ward 5,NE
1,0,Y,2,2,472000,Good,1040,334 CHANNING STREET NE,Brookland,Ward 5,NE
1,1,N,3,2,705000,Good,1484,25 Q STREET NE,Eckington,Ward 5,NE
2,1,Y,2,2,690000,Average,1605,129 QUINCY PLACE NE,Eckington,Ward 5,NE
3,1,Y,3,2,780000,Very Good,945,162 U STREET NE,Eckington,Ward 5,NE
3,1,Y,3,2,750000,Good,968,158 U STREET NE,Eckington,Ward 5,NE
2,1,Y,3,2,390000,Average,2556,115 INGRAHAM STREET NW,Petworth,Ward 4,NW
3,1,Y,3,2,800000,Very Good,1260,151 UHLAND TERRACE NE,Eckington,Ward 5,NE
1,0,N,3,2,465000,Average,1260,177 UHLAND TERRACE NE,Eckington,Ward 5,NE
1,1,Y,3,2,365000,Average,2050,121 URELL PLACE NE,Brookland,Ward 5,NE
1,0,Y,3,2,409000,Average,2050,102 URELL PLACE NE,Brookland,Ward 5,NE
3,1,Y,4,2,904500,Very Good,1676,19 EVARTS STREET NE,Brookland,Ward 5,NE
3,0,Y,3,1,635000,Good,4538,41 MILMARSON PLACE NW,Chillum,Ward 4,NW
3,1,N,5,2,755000,Good,4280,100 NICHOLSON STREET NW,Chillum,Ward 4,NW
4,0,Y,3,2,850000,Good,1440,19 TODD PLACE NE,Eckington,Ward 5,NE
3,1,Y,4,2,1178000,Very Good,1620,41 QUINCY PLACE NE,Eckington,Ward 5,NE
2,1,Y,2,2,630000,Good,975,2319 3RD STREET NE,Brookland,Ward 5,NE
1,1,N,3,2,335000,Average,2366,326 ADAMS STREET NE,Brookland,Ward 5,NE
3,1,Y,3,2,450000,Very Good,1612,329 BRYANT STREET NE,Brookland,Ward 5,NE
2,0,Y,4,2,611500,Good,1612,319 BRYANT STREET NE,Brookland,Ward 5,NE
2,0,N,3,2,413000,Average,2040,5314 1ST STREET NW,Petworth,Ward 4,NW
3,1,Y,5,2,680000,Good,2361,5201 2ND STREET NW,Petworth,Ward 4,NW
2,0,Y,3,2,595000,Very Good,980,330 BRYANT STREET NE,Brookland,Ward 5,NE
2,0,N,3,2,550000,Good,1620,53 QUINCY PLACE NE,Eckington,Ward 5,NE
1,1,N,3,2,560000,Average,2315,2806 5TH STREET NE,Brookland,Ward 5,NE
2,1,Y,4,2,860000,Average,1800,138 R STREET NE,Eckington,Ward 5,NE
2,0,Y,3,2,590000,Good,2001,5032 NORTH CAPITOL STREET NW,Petworth,Ward 4,NW
1,0,N,3,2,535000,Average,1778,2619 3RD STREET NE,Brookland,Ward 5,NE
